id,lat_first,lon_first,lat_last,lon_last,time_diff
131,37.77584,-122.414268,37.778245,-122.421623,192
132,37.822068,-122.478896,37.789102,-122.471498,188
133,37.785643,-122.405884,37.773633,-122.418061,252
134,37.78798,-122.40353,37.78433,-122.403801,377
135,37.780701,-122.417087,37.78881,-122.42695,400
136,37.782405,-122.406017,37.760028,-122.39753,364
137,37.768089,-122.422466,37.765602,-122.410652,248
138,37.770968,-122.407178,37.770547,-122.389563,408
139,37.773452,-122.434847,37.76463,-122.432753,572
140,37.77058,-122.422366,37.76795,-122.428534,204
141,37.786416,-122.4456,37.778835,-122.447133,164
142,37.778554,-122.408741,37.774466,-122.404522,312
143,37.773351,-122.436676,37.769663,-122.424621,220
144,37.762279,-122.40331,37.765808,-122.407258,120
145,37.742197,-122.425289,37.748314,-122.409411,276
146,37.788475,-122.421051,37.779983,-122.41512,168
147,37.790947,-122.422588,37.788528,-122.420435,516
148,37.773983,-122.438908,37.767362,-122.446119,204
149,37.772099,-122.410836,37.764101,-122.413628,196
150,37.76627,-122.401881,37.757198,-122.399816,316
151,37.781142,-122.40434,37.791172,-122.404079,292
152,37.784319,-122.391071,37.781898,-122.390891,172
153,37.786897,-122.423187,37.793209,-122.415977,198
154,37.781478,-122.408236,37.777984,-122.429551,450
155,37.79718,-122.412161,37.804518,-122.421948,264
156,37.792815,-122.417843,37.788744,-122.427658,236
157,37.781503,-122.404635,37.779935,-122.407103,204
158,37.7853,-122.3968,37.789299,-122.391949,292
159,37.764974,-122.44906,37.769241,-122.435939,344
160,37.783197,-122.393748,37.780365,-122.403191,486
161,37.793521,-122.421297,37.781798,-122.415613,192
162,37.767196,-122.419906,37.755021,-122.418725,212
163,37.80046,-122.437876,37.789796,-122.435744,188
164,37.795374,-122.39884,37.773388,-122.415068,624
165,37.784793,-122.400243,37.796578,-122.40254,204
166,37.794881,-122.423392,37.778754,-122.420162,300
167,37.599862,-122.38335,37.605004,-122.38359,510
168,37.781809,-122.427328,37.787846,-122.428688,240
169,37.777464,-122.416492,37.780458,-122.421842,100
170,37.798531,-122.401299,37.790612,-122.393051,536
171,37.761566,-122.47671,37.766113,-122.45494,468
172,37.769754,-122.415597,37.758535,-122.419696,300
173,37.766678,-122.401822,37.756458,-122.425725,660
174,37.771463,-122.432135,37.786155,-122.394065,628
175,37.750662,-122.420627,37.744932,-122.43209,228
176,37.786679,-122.421897,37.775863,-122.423793,348
177,37.790648,-122.403868,37.787075,-122.390666,324
178,37.748344,-122.424785,37.761373,-122.427618,224
179,37.787661,-122.436706,37.773375,-122.443144,460
180,37.784575,-122.432806,37.77931,-122.441235,332
181,37.774559,-122.398301,37.778041,-122.393622,124
182,37.800166,-122.442335,37.799968,-122.435281,144
183,37.791266,-122.400376,37.80099,-122.427409,496
184,37.726112,-122.401938,37.781308,-122.388153,306
185,37.796336,-122.442092,37.798537,-122.450262,268
186,37.775686,-122.4226,37.76727,-122.429335,224
187,37.783217,-122.439793,37.784587,-122.423336,210
188,37.775117,-122.432768,37.736274,-122.429006,972
189,37.770866,-122.397437,37.781623,-122.401685,228
190,37.79135,-122.413897,37.78927,-122.423275,164
191,37.736929,-122.391132,37.739696,-122.40097,138
192,37.773923,-122.411879,37.784637,-122.430878,306
193,37.787807,-122.403763,37.78748,-122.404437,192
194,37.758452,-122.414662,37.787242,-122.394591,528
195,37.748659,-122.438142,37.749887,-122.424865,152
