341,Castro,Mission,188
342,Civic Center/Tenderloin,SOMA,577
343,Pacific Heights,Pacific Heights,160
344,SOMA,Russian Hill,616
345,SOMA,SOMA,172
346,Financial District,Nob Hill,352
347,Financial District,Nob Hill,208
348,SOMA,Civic Center/Tenderloin,204
349,SOMA,SOMA,200
350,Civic Center/Tenderloin,Marina/Cow Hollow,372
351,Civic Center/Tenderloin,Nob Hill,128
352,SOMA,SOMA,270
353,Marina/Cow Hollow,Pacific Heights,224
354,SOMA,SOMA,204
355,Pacific Heights,Marina/Cow Hollow,270
356,Mission,Castro,528
357,Hayes Valley,Mission,220
358,North Beach/Telegraph Hill,SOMA,508
359,SOMA,Mission,312
360,Bayview/Hunters Point,Potrero Hill,228
361,SOMA,SOMA,128
362,SOMA,Mission,188
363,Mission,Castro,384
364,Pacific Heights,Western Addition/NOPA,400
365,Civic Center/Tenderloin,Nob Hill,172
366,Mission,Mission,288
367,SOMA,Civic Center/Tenderloin,228
368,Mission,Western Addition/NOPA,268
369,Nob Hill,Pacific Heights,220
370,Hayes Valley,Mission,248
371,SOMA,Castro,548
372,Pacific Heights,Marina/Cow Hollow,324
373,Inner Sunset,Inner Sunset,160
374,Civic Center/Tenderloin,Civic Center/Tenderloin,316
375,Civic Center/Tenderloin,Civic Center/Tenderloin,228
376,Union Square,North Beach/Telegraph Hill,312
377,Pacific Heights,Marina/Cow Hollow,364
378,Hayes Valley,Mission,200
379,Marina/Cow Hollow,Marina/Cow Hollow,268
380,Civic Center/Tenderloin,Marina/Cow Hollow,356
381,Hayes Valley,Western Addition/NOPA,236
382,SOMA,SOMA,332
383,Marina/Cow Hollow,Civic Center/Tenderloin,356
384,Civic Center/Tenderloin,Civic Center/Tenderloin,176
385,SOMA,SOMA,392
386,SOMA,SOMA,616
387,Laurel Heights,Western Addition/NOPA,188
388,SOMA,Civic Center/Tenderloin,120
389,SOMA,Financial District,192
390,Union Square,SOMA,232
391,SOMA,SOMA,596
392,SOMA,SOMA,152
393,Mission,SOMA,256
394,Marina/Cow Hollow,Pacific Heights,258
395,Mission,Castro,184
396,SOMA,SOMA,148
397,SOMA,Civic Center/Tenderloin,384
398,SOMA,Civic Center/Tenderloin,348
399,Civic Center/Tenderloin,Hayes Valley,284
400,Marina/Cow Hollow,Marina/Cow Hollow,144
401,Bayview/Hunters Point,Bernal Heights,300
402,SOMA,Chinatown,244
403,SOMA,Chinatown,156
404,Fisherman's Wharf,Russian Hill,324
405,SOMA,SOMA,246
406,Western Addition/NOPA,Lower Haight,300
407,Financial District,Nob Hill,330
408,Pacific Heights,Financial District,440
409,Pacific Heights,Russian Hill,316
410,North Beach/Telegraph Hill,Pacific Heights,228
411,Civic Center/Tenderloin,Lower Haight,342
412,Marina/Cow Hollow,Fisherman's Wharf,276
413,Castro,Noe Valley,162
414,Marina/Cow Hollow,Marina/Cow Hollow,616
415,Castro,Western Addition/NOPA,376
416,Potrero Hill,Dogpatch,360
417,Noe Valley,Pacific Heights,628
418,Western Addition/NOPA,Pacific Heights,324
419,Nob Hill,Pacific Heights,192
420,Mission,Potrero Hill,256
421,Mission,Potrero Hill,636
422,Lower Haight,Pacific Heights,428
423,SOMA,Civic Center/Tenderloin,296
424,Civic Center/Tenderloin,Financial District,220
425,Nob Hill,North Beach/Telegraph Hill,144
426,Pacific Heights,Marina/Cow Hollow,188
427,SOMA,SOMA,136
428,Western Addition/NOPA,Inner Richmond,360
429,Civic Center/Tenderloin,Pacific Heights,525
430,Civic Center/Tenderloin,Hayes Valley,240
431,Potrero Hill,SOMA,184
432,Potrero Hill,SOMA,408
433,Civic Center/Tenderloin,Union Square,188
434,SOMA,SOMA,258
435,Hayes Valley,Castro,188
436,Noe Valley,Noe Valley,340
437,Russian Hill,Financial District,648
438,Union Square,Financial District,193
439,Nob Hill,Embarcadero,244
440,SOMA,Nob Hill,672
442,SOMA,SOMA,300
443,Mission,SOMA,780
444,Laurel Heights,Haight-Ashbury,204
445,Laurel Heights,Haight-Ashbury,260
446,SOMA,SOMA,272
447,Pacific Heights,Pacific Heights,168
448,Hayes Valley,Hayes Valley,116
449,Financial District,SOMA,240
450,Civic Center/Tenderloin,SOMA,220
451,SOMA,Potrero Hill,460
452,SOMA,Potrero Hill,360
453,Western Addition/NOPA,Mission,352
454,SOMA,Union Square,148
455,Mission,Bernal Heights,236
456,SOMA,SOMA,200
457,SOMA,SOMA,504
458,Castro,Mission,208
459,Pacific Heights,Pacific Heights,320
460,SOMA,Financial District,368
461,SOMA,Financial District,516
462,Pacific Heights,Pacific Heights,128
463,SOMA,Pacific Heights,648
464,Lower Haight,Castro,328
465,Lower Haight,Castro,300
466,Lower Haight,Castro,312
467,Financial District,Financial District,144
468,Financial District,SOMA,196
469,Civic Center/Tenderloin,Lower Haight,312
470,Laurel Heights,Western Addition/NOPA,196
471,Civic Center/Tenderloin,SOMA,172
472,Mission,Mission,248
473,Fisherman's Wharf,Russian Hill,136
474,SOMA,SOMA,330
475,Castro,Mission,212
476,SOMA,SOMA,276
477,SOMA,Financial District,244
478,North Beach/Telegraph Hill,Fisherman's Wharf,186
479,Marina/Cow Hollow,Laurel Heights,340
480,Civic Center/Tenderloin,Hayes Valley,200
481,SOMA,Civic Center/Tenderloin,276
482,Nob Hill,Marina/Cow Hollow,186
483,Mission,Hayes Valley,344
484,Western Addition/NOPA,Western Addition/NOPA,132
485,Nob Hill,Marina/Cow Hollow,312
486,SOMA,SOMA,297
487,Marina/Cow Hollow,Civic Center/Tenderloin,306
488,Mission,Potrero Hill,328
489,Mission,Potrero Hill,396
490,Pacific Heights,Marina/Cow Hollow,124
491,Financial District,Chinatown,224
492,SOMA,SOMA,220
494,SOMA,SOMA,244
495,SOMA,SOMA,212
496,Civic Center/Tenderloin,SOMA,212
497,Civic Center/Tenderloin,SOMA,596
498,Hayes Valley,Potrero Hill,368
499,Nob Hill,Russian Hill,200
500,Marina/Cow Hollow,Russian Hill,228
501,SOMA,Hayes Valley,240
502,SOMA,Hayes Valley,248
503,Hayes Valley,SOMA,258
504,Hayes Valley,SOMA,288
505,Union Square,SOMA,124
506,SOMA,Embarcadero,424
507,Union Square,SOMA,360
508,SOMA,Civic Center/Tenderloin,234
509,Hayes Valley,Western Addition/NOPA,312
510,SOMA,Financial District,388
511,Civic Center/Tenderloin,Union Square,148
512,Financial District,Financial District,120
513,SOMA,Pacific Heights,616
514,SOMA,Union Square,144
515,Western Addition/NOPA,Laurel Heights,174
516,SOMA,Bernal Heights,400
517,SOMA,Union Square,292
518,Financial District,Civic Center/Tenderloin,328
519,SOMA,Pacific Heights,908
520,Union Square,Union Square,304
521,Marina/Cow Hollow,Pacific Heights,320
522,SOMA,Pacific Heights,696
523,Western Addition/NOPA,Haight-Ashbury,196
524,Pacific Heights,Union Square,212
525,Pacific Heights,Union Square,164
526,SOMA,SOMA,464
527,SOMA,SOMA,552
528,Western Addition/NOPA,Civic Center/Tenderloin,344
529,Western Addition/NOPA,Civic Center/Tenderloin,396
530,Marina/Cow Hollow,Haight-Ashbury,612
531,Western Addition/NOPA,Inner Richmond,312
532,SOMA,SOMA,144
533,SOMA,Civic Center/Tenderloin,205
534,Financial District,Financial District,132
535,Union Square,SOMA,172
536,Union Square,SOMA,320
537,Union Square,SOMA,224
538,Noe Valley,Cole Valley,416
539,Noe Valley,Cole Valley,320
540,SOMA,SOMA,180
541,Mission,Civic Center/Tenderloin,512
542,Mission,Mission,198
543,Civic Center/Tenderloin,Inner Richmond,384
544,Financial District,Union Square,252
545,Financial District,Union Square,228
546,Financial District,North Beach/Telegraph Hill,276
547,SOMA,Castro,232
548,Bayview/Hunters Point,Civic Center/Tenderloin,628
549,Nob Hill,Pacific Heights,220
550,Civic Center/Tenderloin,Hayes Valley,168
551,Pacific Heights,Western Addition/NOPA,264
552,Pacific Heights,Western Addition/NOPA,672
553,Pacific Heights,Western Addition/NOPA,172
554,Financial District,Financial District,216
555,SOMA,Mission,400
556,SOMA,SOMA,142
557,SOMA,SOMA,480
558,SOMA,SOMA,211
559,SOMA,Mission,114
560,North Beach/Telegraph Hill,Russian Hill,144
561,Pacific Heights,Marina/Cow Hollow,636
562,Pacific Heights,Marina/Cow Hollow,486
563,Russian Hill,Marina/Cow Hollow,196
564,Castro,Mission,176
565,Financial District,SOMA,348
566,SOMA,SOMA,344
567,Lower Haight,Western Addition/NOPA,192
568,Mission,Mission,160
569,Marina/Cow Hollow,Laurel Heights,498
570,Civic Center/Tenderloin,Castro,456
571,Civic Center/Tenderloin,Castro,112
572,Inner Richmond,Laurel Heights,208
573,SOMA,Financial District,282
574,Union Square,Pacific Heights,364
575,Hayes Valley,Western Addition/NOPA,308
576,Western Addition/NOPA,Marina/Cow Hollow,564
577,Financial District,North Beach/Telegraph Hill,152
578,Civic Center/Tenderloin,Union Square,354
579,Mission,Hayes Valley,116
580,Mission,Hayes Valley,552
581,Mission,SOMA,188
582,Mission,SOMA,160
583,SOMA,Civic Center/Tenderloin,256
584,Union Square,Financial District,268
585,Union Square,Financial District,344
586,Civic Center/Tenderloin,Russian Hill,436
587,Civic Center/Tenderloin,Russian Hill,284
588,Marina/Cow Hollow,Castro,702
589,SOMA,Mission,444
590,Hayes Valley,Hayes Valley,160
591,Hayes Valley,Hayes Valley,139
592,Pacific Heights,Western Addition/NOPA,534
593,Russian Hill,Civic Center/Tenderloin,328
594,Russian Hill,Civic Center/Tenderloin,832
595,Russian Hill,Civic Center/Tenderloin,227
596,Russian Hill,Civic Center/Tenderloin,380
598,Russian Hill,Marina/Cow Hollow,312
599,SOMA,Mission,222
600,SOMA,Mission,188
601,Mission,Mission,252
602,Castro,Noe Valley,208
603,Bayview/Hunters Point,Mission,212
604,SOMA,SOMA,224
605,Mission,Mission,312
606,Mission,Mission,96
607,Pacific Heights,Castro,474
608,Civic Center/Tenderloin,Civic Center/Tenderloin,300
609,Western Addition/NOPA,Western Addition/NOPA,248
610,SOMA,Mission,216
611,Civic Center/Tenderloin,Potrero Hill,436
612,Civic Center/Tenderloin,Russian Hill,332
613,Civic Center/Tenderloin,Russian Hill,532
614,Financial District,SOMA,260
615,Marina/Cow Hollow,Financial District,424
616,Castro,Castro,268
617,SOMA,SOMA,152
618,SOMA,SOMA,899
619,SOMA,Twin Peaks,804
620,SOMA,Twin Peaks,150
621,SOMA,Twin Peaks,932
622,Civic Center/Tenderloin,Western Addition/NOPA,404
623,SOMA,SOMA,196
